,Store Number,City_x,2015 Sales,2015 Sales mean,County Number_x,Price per Liter mean_x,Zip Code_x,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 q1 Sales,2015 q1 Sales mean,2015 q1 Volume Sold (Liters),2015 q1 Volume Sold (Liters) mean,2015 q1 Margin mean,City,2016 q1 Sales,2016 q1 Sales mean,County Number,Price per Liter mean,Zip Code,2016 q1 Volume Sold (Liters),2016 q1 Volume Sold (Liters) mean,2016 q1 Margin mean,15-16 q1 Sales Growth,2016 Predicted Sales
268,3728,COUNCIL BLUFFS,314964.64,90.4810801494,78,18.5356291332,51503,20788.9,5.97210571675,30.180459638,77449.0,97.6658259773,5227.23,6.59171500631,32.5836569987,COUNCIL BLUFFS,92625.69,95.0007076923,78.0,19.4956203714,51503,5763.7,5.91148717949,31.6794769231,15176.69,404626.404698
269,3731,DAVENPORT,467670.96,151.989262268,82,14.8273660182,52807,33955.75,11.0353428664,50.8272115697,131134.8,168.553727506,8821.6,11.3388174807,56.3762596401,DAVENPORT,98746.32,139.47220339,82.0,14.2481752758,52807,7318.5,10.3368644068,46.56,-32388.48,430566.047821
270,3732,ELDRIDGE,335688.4,94.69348378,82,16.5434169817,52748,25005.53,7.0537461213,31.6685359661,61259.2,84.1472527473,4642.75,6.37740384615,28.1378021978,ELDRIDGE,75680.59,91.0717087846,82.0,15.7887725632,52748,5664.25,6.81618531889,30.4040192539,14421.39,332811.926991
271,3735,OSKALOOSA,274654.74,97.7071291355,10,16.3471013425,52577,20898.06,7.43438633938,32.7334222697,60917.45,96.6943650794,4623.14,7.33831746032,32.3700634921,OSKALOOSA,60488.15,90.9596240602,10.0,16.8368967919,52577,4648.69,6.9905112782,30.4072481203,-429.3,268425.34068
272,3738,DUBUQUE,106365.83,64.1918105009,31,13.800022756,52001,10746.59,6.48557030779,21.5451599276,27941.23,64.5293995381,2822.78,6.51912240185,21.6399076212,DUBUQUE,27916.09,71.948685567,31.0,14.4472307056,52001,2614.51,6.73842783505,24.0640206186,-25.14,130382.75157
273,3740,WATERLOO,203024.06,116.41287844,7,14.9006485593,50702,13165.36,7.54894495413,38.8938876147,50745.67,119.966122931,3103.34,7.33650118203,40.0482978723,WATERLOO,54058.49,125.717418605,7.0,15.5321699006,50702,3388.58,7.88041860465,41.9629069767,3312.82,241176.007556
274,3742,LEMARS,184159.02,170.35987049,75,14.0822479186,51031,14764.5,13.658186864,57.0516743756,45852.48,153.86738255,3928.5,13.182885906,51.5104026846,LEMARS,37107.48,157.904170213,75.0,14.2243404255,51031,2907.0,12.370212766,52.7859574468,-8745.0,169336.48287
275,3744,DYERSVILLE,257084.96,124.556666667,31,14.5776451758,52040,23999.56,11.6276937984,42.126749031,48538.22,115.567190476,4504.74,10.7255714286,39.0013809524,DYERSVILLE,44787.08,99.9711607143,31.0,14.9982421875,52040,3656.46,8.16174107143,33.3832589286,-3751.14,201883.146094
276,3747,SIGOURNEY,86135.26,59.9410299235,54,14.2052267684,52591,7264.17,5.05509394572,20.0468545581,21700.8,58.335483871,1827.01,4.9113172043,19.4826612903,SIGOURNEY,14523.3,58.7987854251,54.0,14.2079019665,52591,1226.76,4.96663967611,19.6770040486,-7177.5,73623.2034476
277,3749,STORM LAKE,202895.34,213.125357143,11,15.2078696479,50588,16235.75,17.0543592437,71.2952310924,41823.68,167.29472,3487.25,13.949,55.95232,STORM LAKE,38082.24,169.2544,11.0,14.1181248677,50588,3124.5,13.8866666667,56.5448,-3741.44,173467.581553
